[grpo seed=0] training 500000 steps on cuda ...
[grpo] step  262753/500000 | vs random 0.99 vs negamax 0.74 (p1 0.90/p2 0.58) | ploss +0.029 ent 0.46 | train_wr 0.77 | mix r/n/s 0.25/0.48/0.27 lr 1.5e-04 | 108 st/s
[grpo] step  266254/500000 | vs random 0.95 vs negamax 0.74 (p1 0.86/p2 0.62) | ploss +0.054 ent 0.46 | train_wr 0.77 | mix r/n/s 0.25/0.48/0.28 lr 1.5e-04 | 108 st/s
[grpo] step  270170/500000 | vs random 0.98 vs negamax 0.72 (p1 0.76/p2 0.68) | ploss -0.004 ent 0.46 | train_wr 0.74 | mix r/n/s 0.24/0.48/0.28 lr 1.5e-04 | 108 st/s
[grpo] step  273970/500000 | vs random 1.00 vs negamax 0.74 (p1 0.80/p2 0.68) | ploss +0.035 ent 0.46 | train_wr 0.74 | mix r/n/s 0.24/0.48/0.28 lr 1.4e-04 | 109 st/s
[grpo] step  277639/500000 | vs random 0.97 vs negamax 0.70 (p1 0.74/p2 0.66) | ploss +0.037 ent 0.42 | train_wr 0.77 | mix r/n/s 0.24/0.48/0.28 lr 1.4e-04 | 109 st/s
[grpo] step  281521/500000 | vs random 1.00 vs negamax 0.73 (p1 0.80/p2 0.66) | ploss +0.002 ent 0.40 | train_wr 0.77 | mix r/n/s 0.23/0.48/0.29 lr 1.4e-04 | 109 st/s
[grpo] step  285362/500000 | vs random 0.98 vs negamax 0.74 (p1 0.82/p2 0.66) | ploss +0.042 ent 0.42 | train_wr 0.73 | mix r/n/s 0.23/0.48/0.29 lr 1.4e-04 | 110 st/s
[grpo] step  289697/500000 | vs random 1.00 vs negamax 0.81 (p1 0.92/p2 0.70) | ploss +0.030 ent 0.43 | train_wr 0.76 | mix r/n/s 0.23/0.48/0.30 lr 1.3e-04 | 110 st/s
[grpo] step  293676/500000 | vs random 0.98 vs negamax 0.68 (p1 0.72/p2 0.64) | ploss +0.052 ent 0.43 | train_wr 0.75 | mix r/n/s 0.22/0.48/0.30 lr 1.3e-04 | 111 st/s
[grpo] step  297289/500000 | vs random 0.97 vs negamax 0.79 (p1 0.90/p2 0.68) | ploss +0.035 ent 0.44 | train_wr 0.76 | mix r/n/s 0.22/0.48/0.30 lr 1.3e-04 | 111 st/s
